n_days,ann_return,ann_vol,sharpe,max_drawdown,avg_turnover,reg_alpha_daily,reg_beta,reg_r2,rebalance,lam_risk,gamma_turnover,tcost_bps
2255,0.005589821173341414,0.045048463843717045,0.12408461235734307,-0.07821694860054806,0.6258132891322696,1.233326603604329e-05,0.015757610423792687,0.004189668064827123,W-FRI,0.5,0.0,1
2255,-0.007110497546489127,0.04515452899050149,-0.15747030708669024,-0.10031735382014229,0.6258132891322696,-3.8144118020908895e-05,0.015884479921276725,0.004237427076337008,W-FRI,0.5,0.0,5
2255,-0.022985895946277313,0.045372960281059534,-0.5065989920845552,-0.2012212023852482,0.6258132891322696,-0.00010124084809209917,0.01604306679313178,0.0042809427851704385,W-FRI,0.5,0.0,10
2255,-0.05473669274585368,0.04609016067831574,-1.187600388896147,-0.39790928430135497,0.6258132891322696,-0.00022743430823447973,0.016360240536841892,0.0043144137875194,W-FRI,0.5,0.0,20
2255,0.01818850556737014,0.04162788443182908,0.436930817302429,-0.06765666952131555,0.10828509055162487,6.86527435843854e-05,0.005638152376680267,0.0006281506416311311,W-FRI,0.5,0.5,1
2255,0.01599095689511643,0.04163548518842818,0.3840703866604831,-0.06812928879011249,0.10828509055162487,5.990822695283179e-05,0.0056766887796020895,0.0006365342552796527,W-FRI,0.5,0.5,5
2255,0.013244021054799293,0.04164882233800122,0.31799269010099196,-0.06880909344545039,0.10828509055162487,4.897758116338972e-05,0.005724859283254387,0.0006469683734612319,W-FRI,0.5,0.5,10
2255,0.007750149374165012,0.0416882669469317,0.1859072094321117,-0.07059563170136851,0.10828509055162487,2.7116289584505642e-05,0.005821200290558952,0.0006676614060096009,W-FRI,0.5,0.5,20
2255,0.024088495523874494,0.036920507474655216,0.6524421567176588,-0.08625690327580038,0.020515072974892495,0.00010101252858560174,-0.008677166350972463,0.0018913826180886328,W-FRI,0.5,1.0,1
2255,0.023672160540475565,0.03692509454639055,0.6410859831580182,-0.0866810871684851,0.020515072974892495,9.935191588039643e-05,-0.008663582821946706,0.0018849971646009989,W-FRI,0.5,1.0,5
2255,0.023151741811226895,0.03693121606057758,0.6268881526471137,-0.08721105921986627,0.020515072974892495,9.727614999888976e-05,-0.008646603410664514,0.0018769933482588597,W-FRI,0.5,1.0,10
2255,0.02211090435272955,0.03694475050652207,0.5984856860469577,-0.0882701444887839,0.020515072974892495,9.312461823587643e-05,-0.008612644588100127,0.001860914611450215,W-FRI,0.5,1.0,20
2255,-0.00032911069007910554,0.0161084734487793,-0.020430904959777275,-0.06586452824263189,0.0019503317717381127,-4.5746715994867637e-07,-0.0013576363003545537,0.0002432299117476333,W-FRI,0.5,2.0,1
2255,-0.0003686909219799538,0.016108959118291417,-0.022887321227435,-0.06605289066281839,0.0019503317717381127,-6.14788204246828e-07,-0.0013572256915628238,0.0002430681499987486,W-FRI,0.5,2.0,5
2255,-0.00041816621185600955,0.016109581396076135,-0.02595760880278762,-0.06628829174900863,0.0019503317717381127,-8.11439509619522e-07,-0.0013567124305731615,0.00024286557915653706,W-FRI,0.5,2.0,10
2255,-0.0005171167916081211,0.01611087658046823,-0.03209737155053622,-0.0667589208436632,0.0019503317717381127,-1.2047421203648848e-06,-0.0013556859085938377,0.0002424592138283721,W-FRI,0.5,2.0,20
2255,-6.174399373898325e-22,5.416829238329559e-22,-1.1398549044537327,0.0,8.533573826421195e-22,-2.5389856550910908e-24,1.4212264761159446e-22,0.0023571930886702175,W-FRI,0.5,5.0,1
2255,-6.347580591518403e-22,5.41803990284567e-22,-1.1715640167553063,0.0,8.533573826421195e-22,-2.6077625004832776e-24,1.4220927108566004e-22,0.0023590127741187628,W-FRI,0.5,5.0,5
2255,-6.564057113543502e-22,5.419678321579763e-22,-1.2111525304753084,0.0,8.533573826421195e-22,-2.6937335572235105e-24,1.4231755042824196e-22,0.002361178226786609,W-FRI,0.5,5.0,10
2255,-6.9970101575937e-22,5.423371628495511e-22,-1.2901587124935285,0.0,8.533573826421195e-22,-2.8656756707039792e-24,1.4253410911340578e-22,0.0023651448940540387,W-FRI,0.5,5.0,20
2255,0.005985702725922495,0.04503613836935039,0.13290888034921086,-0.07812389573222756,0.6259846815126515,1.3947113644552862e-05,0.015688988318019684,0.004155530363246784,W-FRI,1.0,0.0,1
2255,-0.006718094248356779,0.04514252839557181,-0.14881962723682488,-0.09724187938627471,0.6259846815126515,-3.654495092015812e-05,0.015817262464486392,0.00420387460077043,W-FRI,1.0,0.0,5
2255,-0.022597840466205873,0.0453614468439586,-0.4981728326246176,-0.19847452960580791,0.6259846815126515,-9.966003162604674e-05,0.015977605147569764,0.004248234115231786,W-FRI,1.0,0.0,10
2255,-0.05435733290190407,0.04607987280301661,-1.1796328764680437,-0.39586713201027257,0.6259846815126515,-0.0002258901930378241,0.01629829051373653,0.00428371369272329,W-FRI,1.0,0.0,20
2255,0.01782066035984567,0.041587075991097074,0.4285143866248423,-0.06808376417927675,0.10808195513002532,6.722354074561086e-05,0.005589352076508083,0.0006185360722028577,W-FRI,1.0,0.5,1
2255,0.015627234138556812,0.041594287959912796,0.3757062545130674,-0.06855384876767823,0.10808195513002532,5.84953051410128e-05,0.00562801312741356,0.0006269049304713503,W-FRI,1.0,0.5,5
2255,0.012885451361945735,0.04160714615304094,0.30969322708531827,-0.0692290771173234,0.10808195513002532,4.75850106352652e-05,0.005676339441045409,0.0006373232021386066,W-FRI,1.0,0.5,10
2255,0.007401885808723594,0.04164565678515001,0.17773487993982015,-0.07100900046956538,0.10808195513002532,2.576442162377006e-05,0.005772992068309108,0.0006579931320198629,W-FRI,1.0,0.5,20
2255,0.02452643912404193,0.03681657330178813,0.666179302538477,-0.08588778253658869,0.0205718348668513,0.00010315638822921596,-0.009326743701320122,0.0021975169167561814,W-FRI,1.0,1.0,1
2255,0.02410895220901812,0.03682102710177557,0.6547604482183373,-0.08630631464064487,0.0205718348668513,0.00010149092140301921,-0.009312707432937953,0.002190377610728489,W-FRI,1.0,1.0,5
2255,0.02358709356523836,0.03682698796948336,0.6404839186083797,-0.08682923003159082,0.0205718348668513,9.940908787027324e-05,-0.009295162097460235,0.002181425602456266,W-FRI,1.0,1.0,10
2255,0.02254337627767884,0.03684022093949764,0.6119229391892524,-0.08787422886851626,0.0205718348668513,9.524542080478128e-05,-0.009260071426504809,0.002163431212884759,W-FRI,1.0,1.0,20
2255,-0.00039195551655253315,0.01609448361020029,-0.02435340741868359,-0.06663795563150621,0.0019476325101192306,-7.036371925496783e-07,-0.0013627789894264345,0.00024550233935571875,W-FRI,1.0,2.0,1
2255,-0.0004314809693627729,0.016094971787095767,-0.026808432786984766,-0.06682504755707708,0.0019476325101192306,-8.606716018610769e-07,-0.0013624791922166295,0.00024537944941804835,W-FRI,1.0,2.0,5
2255,-0.00048088778537557137,0.016095597403947826,-0.029876976499028377,-0.0670588612009303,0.0019476325101192306,-1.0569646135003301e-06,-0.001362104445704374,0.0002452254216108729,W-FRI,1.0,2.0,10
2255,-0.0005797014174011703,0.016096899949119517,-0.036013233556370546,-0.06752631766303174,0.0019476325101192306,-1.4495506367788368e-06,-0.0013613549526798642,0.0002449159855331118,W-FRI,1.0,2.0,20
2255,2.1063564402496977e-22,6.993790164199375e-22,0.30117524129219087,0.0,8.613445836000883e-22,7.585365378099402e-25,1.2370998561671946e-22,0.0010713791420335905,W-FRI,1.0,5.0,1
2255,1.931554291920618e-22,6.992893776073944e-22,0.27621673569951755,0.0,8.613445836000883e-22,6.891343141376178e-25,1.2376805215081463e-22,0.0010726600842443368,W-FRI,1.0,5.0,5
2255,1.7130516065092673e-22,6.99187281364114e-22,0.2450061166969606,0.0,8.613445836000883e-22,6.023815345472145e-25,1.2384063531843362e-22,0.0010742322185426367,W-FRI,1.0,5.0,10
2255,1.2760462356865673e-22,6.990162809328684e-22,0.18254885765802573,0.0,8.613445836000883e-22,4.288759753664081e-25,1.2398580165367162e-22,0.001077279006981513,W-FRI,1.0,5.0,20
2255,0.005963167223220927,0.045029065044432534,0.13242929244337537,-0.07806664312988931,0.6258194529393258,1.385750235099191e-05,0.01568928382915634,0.004156992590899966,W-FRI,2.0,0.0,1
2255,-0.006737276585538702,0.045135452106542864,-0.1492679539275527,-0.09768640466617884,0.6258194529393258,-3.662115943047258e-05,0.01581740346313823,0.004205267834648585,W-FRI,2.0,0.0,5
2255,-0.02261283134648824,0.045354337014417094,-0.49858145516050967,-0.19853507157081052,0.6258194529393258,-9.971948665730321e-05,0.015977553005615593,0.004249538405301512,W-FRI,2.0,0.0,10
2255,-0.0543639408683873,0.046072598575357684,-1.1799625493115622,-0.3958973861366034,0.6258194529393258,-0.00022591614111096457,0.016297852090570313,0.004284835945058019,W-FRI,2.0,0.0,20
2255,0.017991853056998366,0.041655120203059254,0.4319241660879183,-0.06834262778809608,0.10802464239854373,6.789069938123e-05,0.005608835905457812,0.0006208226520935112,W-FRI,2.0,0.5,1
2255,0.015799589946127835,0.04166233699636362,0.3792295652427481,-0.06881142416309804,0.10802464239854373,5.9167134202293326e-05,0.005647409103870894,0.0006291730538561247,W-FRI,2.0,0.5,5
2255,0.013059261057539684,0.04167518428958155,0.3133582077717264,-0.06942475175564766,0.10802464239854373,4.82626777286225e-05,0.005695625601887254,0.0006395679309197932,W-FRI,2.0,0.5,10
2255,0.007578603280363368,0.04171361680564011,0.18168175911657372,-0.07120183929971857,0.10802464239854373,2.6453764781280818e-05,0.005792058597919963,0.0006601901944207622,W-FRI,2.0,0.5,20
2255,0.02402343059695524,0.03680076509754777,0.6527970419440016,-0.08606836398088524,0.020577000610099077,0.00010084111451648141,-0.008816013676804827,0.0019651227571061414,W-FRI,2.0,1.0,1
2255,0.02360583884781108,0.03680543210996271,0.6413683387083863,-0.08649051177388334,0.020577000610099077,9.917519690029548e-05,-0.008801921758227449,0.001958348753642869,W-FRI,2.0,1.0,5
2255,0.023083849161380877,0.036811656971849925,0.6270798725260649,-0.08701794168197963,0.020577000610099077,9.709279988006305e-05,-0.008784306860005725,0.0019498586720774203,W-FRI,2.0,1.0,10
2255,0.02203986978852047,0.03682540949525797,0.5984962581708306,-0.08807195259116007,0.020577000610099077,9.292800583959818e-05,-0.008749077063562278,0.001932805640411872,W-FRI,2.0,1.0,20
2255,-0.0007003341690082603,0.016113228919043533,-0.04346330412897973,-0.06730146365155631,0.0019533905907324796,-1.9786336029193727e-06,-0.0012807449099351473,0.0002163311171811122,W-FRI,2.0,2.0,1
2255,-0.0007399764768937625,0.016113740487446484,-0.04592207982189151,-0.06748935908337494,0.0019533905907324796,-2.1361752472574396e-06,-0.0012803754740750822,0.00021619260433958232,W-FRI,2.0,2.0,5
2255,-0.0007895293617506404,0.01611439529053845,-0.04899528325547603,-0.06772417662046903,0.0019533905907324796,-2.33310230268002e-06,-0.0012799136792500006,0.00021601912668001155,W-FRI,2.0,2.0,10
2255,-0.0008886351314643988,0.016115756030725382,-0.05514076595414932,-0.0681936392378647,0.0019533905907324796,-2.726956413525166e-06,-0.0012789900895998367,0.00021567105387731988,W-FRI,2.0,2.0,20
2255,2.866678078316902e-22,5.934923260822652e-22,0.4830185585111586,0.0,8.652801600408385e-22,1.1433855716764109e-24,-9.303794762580843e-24,8.414898802433513e-06,W-FRI,2.0,5.0,1
2255,2.691077240090823e-22,5.934891709639748e-22,0.4534332506387338,0.0,8.652801600408385e-22,1.0736815949149559e-24,-9.270027840504726e-24,8.354016891032323e-06,W-FRI,2.0,5.0,5
2255,2.4715761923082235e-22,5.934970099235261e-22,0.4164429055214101,0.0,8.652801600408385e-22,9.865516239631379e-25,-9.227819187909574e-24,8.277895740871344e-06,W-FRI,2.0,5.0,10
2255,2.0325740967430253e-22,5.935519610752858e-22,0.3424424869325324,0.0,8.652801600408385e-22,8.122916820595015e-25,-9.143401882719252e-24,8.12562918905968e-06,W-FRI,2.0,5.0,20
2255,0.005928308535930857,0.04502007946267283,0.13168143207846073,-0.07818064252787849,0.6257905899199512,1.375537863467421e-05,0.015631357114811797,0.004128000355666073,W-FRI,5.0,0.0,1
2255,-0.006771549523769683,0.04512641642093997,-0.15005732918396522,-0.09821529650779026,0.6257905899199512,-3.6721059389176055e-05,0.015759637777315576,0.004176280299889257,W-FRI,5.0,0.0,5
2255,-0.022646372098395352,0.04534524291975715,-0.49942112204515754,-0.19877867440219155,0.6257905899199512,-9.981660691898882e-05,0.015919988605445298,0.004220665260274092,W-FRI,5.0,0.0,10
2255,-0.05439601724764669,0.04606340162396758,-1.180894491720375,-0.39606962358257924,0.6257905899199512,-0.0002260077019786144,0.016240690261704736,0.004256531244924866,W-FRI,5.0,0.0,20
2255,0.018028976991945677,0.041643496866257616,0.43293619289099555,-0.06902180518391188,0.10825789188254319,6.795800177230751e-05,0.005736858855726995,0.0006498495445276253,W-FRI,5.0,0.5,1
2255,0.015831980292256447,0.04165115374057084,0.38010904549890306,-0.06948828816770214,0.10825789188254319,5.921514832220564e-05,0.005776238751112134,0.0006585595772555797,W-FRI,5.0,0.5,5
2255,0.013085734417644919,0.04166455569382405,0.31407353804050336,-0.07028256350678486,0.10825789188254319,4.8286581509578335e-05,0.005825463620343551,0.0006694009884790075,W-FRI,5.0,0.5,10
2255,0.007593242668421857,0.04170411205543812,0.18207419590490276,-0.07205335148145431,0.10825789188254319,2.6429447884323685e-05,0.0059239133588063755,0.000690905275282705,W-FRI,5.0,0.5,20
2255,0.0245307453991642,0.0368856860389367,0.6650478283979707,-0.08444525565673566,0.02051613867334668,0.00010292318098078673,-0.008926273012695591,0.002005319010841222,W-FRI,5.0,1.0,1
2255,0.02411438878837214,0.036890017057882016,0.6536833190002496,-0.08486587553459246,0.02051613867334668,0.00010126201148373979,-0.008911935937904703,0.00199841311007809,W-FRI,5.0,1.0,5
2255,0.023593943024882068,0.03689582216855065,0.6394746515499289,-0.08539139834726373,0.02051613867334668,9.918554961243112e-05,-0.008894014594416091,0.0019897575485804397,W-FRI,5.0,1.0,10
2255,0.02255305149790191,0.03690873604935122,0.6110491420715651,-0.08644160438328785,0.02051613867334668,9.503262586981373e-05,-0.008858171907438879,0.0019723715652822937,W-FRI,5.0,1.0,20
2255,-0.00045566951839876187,0.016009884228713793,-0.028461762239449347,-0.06628787146800985,0.0019334036375925122,-9.202566090795497e-07,-0.0014207209297310746,0.000269649763811719,W-FRI,5.0,2.0,1
2255,-0.0004949062090186618,0.01601038445948676,-0.03091157556340948,-0.0664725310862071,0.0019334036375925122,-1.0761054478069578e-06,-0.0014204846343525961,0.0002695432304822276,W-FRI,5.0,2.0,5
2255,-0.0005439520722935356,0.016011025019945543,-0.03397359454600276,-0.06670330571314198,0.0019334036375925122,-1.2709164962161964e-06,-0.0014201892651294983,0.0002694095888265968,W-FRI,5.0,2.0,10
2255,-0.0006420437988432846,0.016012357039704907,-0.04009677009145163,-0.0671646886969629,0.0019334036375925122,-1.6605385930346963e-06,-0.001419598526683304,0.0002691407259343137,W-FRI,5.0,2.0,20
2255,-4.643431232828894e-22,7.054829397942477e-22,-0.6581918528296571,0.0,8.597952672903891e-22,-2.006922406640705e-24,2.628640092949308e-22,0.004753878672335676,W-FRI,5.0,5.0,1
2255,-4.817918961325849e-22,7.055051773055991e-22,-0.6829034167723623,0.0,8.597952672903891e-22,-2.076202754286274e-24,2.629267057986316e-22,0.0047558468446342594,W-FRI,5.0,5.0,5
2255,-5.036028621947045e-22,7.0554274795004e-22,-0.7137807930957076,0.0,8.597952672903891e-22,-2.1628031888432344e-24,2.6300507642825758e-22,0.004758175627278649,W-FRI,5.0,5.0,10
2255,-5.472247943189434e-22,7.0565046126003905e-22,-0.7754898839601067,0.0,8.597952672903891e-22,-2.3360040579571577e-24,2.631618176875097e-22,0.004762394474359666,W-FRI,5.0,5.0,20
2255,0.006050529444204779,0.04502190558272787,0.134390789680968,-0.07849460084000948,0.625741135021036,1.419933341599357e-05,0.015697034848049737,0.004162424502100359,W-FRI,10.0,0.0,1
2255,-0.00664832497273299,0.045128113053287844,-0.14732113804276648,-0.0978788465874818,0.625741135021036,-3.627315969908177e-05,0.01582537599116235,0.004210877380336986,W-FRI,10.0,0.0,5
2255,-0.022521892993905203,0.04534676267000963,-0.4966593350400336,-0.19786291478656748,0.625741135021036,-9.936377609292596e-05,0.01598580242005311,0.004255348919697033,W-FRI,10.0,0.0,10
2255,-0.05426902903624963,0.04606452299481608,-1.1781089981623571,-0.39538418081383275,0.625741135021036,-0.00022554500888061433,0.016306655277834634,0.004290970158262963,W-FRI,10.0,0.0,20
2255,0.018006249806887878,0.04162234984955607,0.4326101210520657,-0.06881236104029853,0.1079462114121993,6.792032981937734e-05,0.005652834883333741,0.000631594413350367,W-FRI,10.0,0.5,1
2255,0.01581557838245384,0.04162976701549111,0.37991032658358637,-0.06927899410733518,0.1079462114121993,5.920248019078454e-05,0.005692369141213778,0.0006402314746954962,W-FRI,10.0,0.5,5
2255,0.01307723910191129,0.04164285833163286,0.31403317701603406,-0.069984981500544,0.1079462114121993,4.83051681550436e-05,0.005741786963563837,0.0006509864621442318,W-FRI,10.0,0.5,10
2255,0.007600560540826193,0.041681757151660045,0.18234741191863327,-0.07175784362453486,0.1079462114121993,2.6510544083561664e-05,0.005840622608263936,0.0006723340752875506,W-FRI,10.0,0.5,20
2255,0.024661842080830786,0.0367834990644231,0.6704593828237415,-0.08555827094184898,0.020583148595601716,0.00010344383239990576,-0.008926955395704537,0.0020167846200339623,W-FRI,10.0,1.0,1
2255,0.024244125563841763,0.03678798111676315,0.6590229968557437,-0.08597724080523805,0.020583148595601716,0.00010177735967342415,-0.00891276747800731,0.0020098891858967294,W-FRI,10.0,1.0,5
2255,0.02372197991760549,0.03679397784240662,0.6447245258234868,-0.0865007029117516,0.020583148595601716,9.969426876532205e-05,-0.008895032580885765,0.0020012459757030587,W-FRI,10.0,1.0,10
2255,0.022677688625132936,0.036807284329845175,0.6161195817085788,-0.0875467935693639,0.020583148595601716,9.552808694911796e-05,-0.008859562786642685,0.0019838822817717094,W-FRI,10.0,1.0,20
2255,-0.0009822888624330184,0.015869033894605727,-0.06189972678594646,-0.06754050843475667,0.0019230076569292636,-3.057953729579966e-06,-0.0013440208675127975,0.00024562350148482626,W-FRI,10.0,2.0,1
2255,-0.0010213145759609946,0.015869512253774944,-0.06435702368345003,-0.06772350251583892,0.0019230076569292636,-3.2130636760948865e-06,-0.0013436272635011812,0.0002454648592216113,W-FRI,10.0,2.0,5
2255,-0.0010700967178709647,0.015870125538845325,-0.06742837132899092,-0.06795219606543401,0.0019230076569292636,-3.406951109238531e-06,-0.0013431352584866599,0.0002452661678759016,W-FRI,10.0,2.0,10
2255,-0.0011676610016909048,0.015871403221780114,-0.07357011761181514,-0.06840941970685488,0.0019230076569292636,-3.794725975525817e-06,-0.001342151248457618,0.0002448674953792196,W-FRI,10.0,2.0,20
2255,-7.549455718711792e-23,5.413790859233748e-22,-0.1394486029292295,0.0,8.68353432565135e-22,-3.1227867611996025e-25,2.031524135528549e-23,4.8216967616365736e-05,W-FRI,10.0,5.0,1
2255,-9.311701031579415e-23,5.4134627308467515e-22,-0.17201006997831345,0.0,8.68353432565135e-22,-3.822436477596888e-25,2.0370604362423482e-23,4.848600431606176e-05,W-FRI,10.0,5.0,5
2255,-1.1514507672663938e-22,5.413182243918584e-22,-0.212712359455473,0.0,8.68353432565135e-22,-4.696998623093489e-25,2.0439808121346e-23,4.88210597279215e-05,W-FRI,10.0,5.0,10
